date_local,aqi
2007-08-01,5.522123893805309
2007-08-02,5.894894894894895
2007-08-03,5.928358208955224
2007-08-04,5.792284866468843
2007-08-05,5.744807121661721
2007-08-06,5.398230088495575
2007-08-07,5.294117647058823
2007-08-08,5.457725947521866
2007-08-09,5.341107871720117
2007-08-10,5.149122807017544
2007-08-11,5.23598820058997
2007-08-12,5.206489675516224
2007-08-13,5.6342182890855455
2007-08-14,5.489614243323442
2007-08-15,5.830860534124629
2007-08-16,5.847058823529411
2007-08-17,5.701754385964913
2007-08-18,5.3628318584070795
2007-08-19,4.8609467455621305
2007-08-20,5.241176470588235
2007-08-21,5.382352941176471
2007-08-22,5.300884955752212
2007-08-23,5.213450292397661
2007-08-24,5.545189504373178
2007-08-25,5.340175953079179
2007-08-26,4.911504424778761
2007-08-27,5.408823529411765
2007-08-28,6.090909090909091
2007-08-29,6.548104956268221
2007-08-30,5.886627906976744
2007-08-31,5.771014492753623
2007-09-01,5.286118980169972
2007-09-02,5.113636363636363
2007-09-03,5.4498567335243555
2007-09-04,6.100574712643678
2007-09-05,5.871428571428571
2007-09-06,5.46875
2007-09-07,5.596590909090909
2007-09-08,5.184659090909091
2007-09-09,5.025568181818182
2007-09-10,5.471590909090909
2007-09-11,6.017045454545454
2007-09-12,5.878186968838527
2007-09-13,6.3277310924369745
2007-09-14,6.330532212885154
2007-09-15,5.624649859943977
2007-09-16,5.249299719887955
2007-09-17,5.064425770308123
2007-09-18,5.732394366197183
2007-09-19,5.4858757062146895
2007-09-20,5.90084985835694
2007-09-21,6.308988764044944
2007-09-22,5.441011235955056
2007-09-23,5.196629213483146
2007-09-24,6.073033707865169
2007-09-25,6.741573033707865
2007-09-26,6.97191011235955
2007-09-27,7.508474576271187
2007-09-28,6.209631728045326
2007-09-29,5.425352112676056
2007-09-30,5.685552407932011
2007-10-01,6.350543478260869
2007-10-02,6.55858310626703
2007-10-03,7.051912568306011
2007-10-04,6.7315068493150685
2007-10-05,5.96986301369863
2007-10-06,6.076712328767123
2007-10-07,6.299450549450549
2007-10-08,7.490358126721763
2007-10-09,7.784153005464481
2007-10-10,6.587431693989071
2007-10-11,6.915531335149864
2007-10-12,6.7095890410958905
2007-10-13,6.160664819944598
2007-10-14,6.274238227146815
2007-10-15,7.083102493074792
2007-10-16,6.711111111111111
2007-10-17,6.427777777777778
2007-10-18,6.887052341597796
2007-10-19,7.56043956043956
2007-10-20,7.653846153846154
2007-10-21,6.365384615384615
2007-10-22,7.6136986301369864
2007-10-23,8.002739726027396
2007-10-24,8.879781420765028
2007-10-25,9.18956043956044
2007-10-26,9.593406593406593
2007-10-27,8.704419889502763
2007-10-28,8.091160220994475
2007-10-29,8.983471074380166
2007-10-30,8.53867403314917
2007-10-31,9.450276243093922
2007-11-01,9.1448087431694
2007-11-02,9.130919220055711
2007-11-03,9.674094707520892
2007-11-04,9.643454038997215
2007-11-05,9.625
2007-11-06,8.69889502762431
2007-11-07,9.480555555555556
2007-11-08,9.853591160220995
2007-11-09,10.129834254143647
2007-11-10,8.863888888888889
2007-11-11,8.37883008356546
2007-11-12,8.829608938547485
2007-11-13,10.450980392156863
2007-11-14,10.677777777777777
2007-11-15,9.225
2007-11-16,8.41340782122905
2007-11-17,9.092696629213483
2007-11-18,9.412921348314606
2007-11-19,9.603351955307263
2007-11-20,9.794444444444444
2007-11-21,8.784530386740332
2007-11-22,7.535911602209945
2007-11-23,6.543175487465181
2007-11-24,7.838440111420613
2007-11-25,8.775280898876405
2007-11-26,10.705555555555556
2007-11-27,11.002770083102494
2007-11-28,10.022038567493112
2007-11-29,10.203296703296703
2007-11-30,9.56986301369863
2007-12-01,7.420765027322404
2007-12-02,6.821917808219178
2007-12-03,9.260989010989011
2007-12-04,10.002732240437158
2007-12-05,11.524861878453038
2007-12-06,10.31578947368421
2007-12-07,7.590027700831025
2007-12-08,7.027548209366391
2007-12-09,7.484764542936288
2007-12-10,8.994520547945205
2007-12-11,8.825484764542937
2007-12-12,9.30853994490358
2007-12-13,10.0
2007-12-14,10.096153846153847
2007-12-15,9.378453038674033
2007-12-16,9.409972299168976
2007-12-17,10.47107438016529
2007-12-18,10.705234159779614
2007-12-19,10.772853185595569
2007-12-20,10.063711911357341
2007-12-21,9.79224376731302
2007-12-22,8.739612188365651
2007-12-23,8.930747922437673
2007-12-24,10.358333333333333
2007-12-25,9.913649025069638
2007-12-26,9.233983286908078
2007-12-27,8.9
2007-12-28,8.78393351800554
2007-12-29,8.369444444444444
2007-12-30,9.096952908587257
2007-12-31,9.425414364640885
2008-01-01,7.18956043956044
2008-01-02,8.391184573002755
2008-01-03,10.193370165745856
2008-01-04,9.005540166204986
2008-01-05,7.963888888888889
2008-01-06,6.439775910364146
2008-01-07,8.20891364902507
2008-01-08,9.23545706371191
2008-01-09,8.522222222222222
2008-01-10,9.290858725761773
2008-01-11,10.182825484764543
2008-01-12,9.904761904761905
2008-01-13,9.327731092436975
2008-01-14,8.26183844011142
2008-01-15,9.269444444444444
2008-01-16,8.314763231197771
2008-01-17,8.218836565096954
2008-01-18,9.535911602209945
2008-01-19,9.624309392265193
2008-01-20,9.09972299168975
2008-01-21,7.075
2008-01-22,8.685082872928177
2008-01-23,9.433701657458563
2008-01-24,7.977777777777778
2008-01-25,7.80939226519337
2008-01-26,8.71191135734072
2008-01-27,8.45125348189415
2008-01-28,7.646239554317549
2008-01-29,7.867036011080333
2008-01-30,8.030640668523677
2008-01-31,7.941666666666666
2008-02-01,9.341597796143251
2008-02-02,8.629834254143647
2008-02-03,8.371191135734072
