Date,cases
2005-01-31,525.0967741935484
2005-02-28,518.6071428571429
2005-03-31,483.1290322580645
2005-04-30,522.0333333333333
2005-05-31,549.4193548387096
2005-06-30,562.4666666666667
2005-07-31,544.8064516129032
2005-08-31,529.2903225806451
2005-09-30,557.3333333333334
2005-10-31,565.5806451612904
2005-11-30,624.9
2005-12-31,551.4516129032259
2006-01-31,478.6774193548387
2006-02-28,502.39285714285717
2006-03-31,479.19354838709677
2006-04-30,460.1333333333333
2006-05-31,519.4516129032259
2006-06-30,534.5
2006-07-31,537.7741935483871
2006-08-31,493.3225806451613
2006-09-30,559.5
2006-10-31,552.3870967741935
2006-11-30,579.9
2006-12-31,522.1935483870968
2007-01-31,495.3225806451613
2007-02-28,473.32142857142856
2007-03-31,485.4516129032258
2007-04-30,470.8333333333333
2007-05-31,510.741935483871
2007-06-30,517.6
2007-07-31,511.6774193548387
2007-08-31,485.2903225806452
2007-09-30,509.03333333333336
2007-10-31,500.9032258064516
2007-11-30,551.9666666666667
2007-12-31,474.4516129032258
2008-01-31,455.9032258064516
2008-02-29,494.9310344827586
2008-03-31,435.2903225806452
2008-04-30,446.46666666666664
2008-05-31,462.4516129032258
2008-06-30,473.5
2008-07-31,471.93548387096774
2008-08-31,431.16129032258067
2008-09-30,481.06666666666666
2008-10-31,505.93548387096774
2008-11-30,492.3333333333333
2008-12-31,444.96774193548384
2009-01-31,432.80645161290323
2009-02-28,391.07142857142856
2009-03-31,425.8709677419355
2009-04-30,423.8333333333333
2009-05-31,445.51612903225805
2009-06-30,464.53333333333336
2009-07-31,461.2903225806452
2009-08-31,432.741935483871
2009-09-30,459.73333333333335
2009-10-31,478.51612903225805
2009-11-30,515.7666666666667
2009-12-31,442.2258064516129
2010-01-31,343.1290322580645
2010-02-28,418.7142857142857
2010-03-31,424.6774193548387
2010-04-30,408.26666666666665
2010-05-31,426.4516129032258
2010-06-30,454.8
2010-07-31,436.35483870967744
2010-08-31,420.2258064516129
2010-09-30,463.46666666666664
2010-10-31,465.4516129032258
2010-11-30,484.8
2010-12-31,333.7096774193548
2011-01-31,379.38709677419354
2011-02-28,398.2142857142857
2011-03-31,401.03225806451616
2011-04-30,411.4
2011-05-31,407.19354838709677
2011-06-30,434.93333333333334
2011-07-31,423.16129032258067
2011-08-31,388.0967741935484
2011-09-30,444.6333333333333
2011-10-31,443.48387096774195
2011-11-30,439.9
2011-12-31,409.19354838709677
2012-01-31,381.80645161290323
2012-02-29,374.58620689655174
2012-03-31,392.61290322580646
2012-04-30,360.6666666666667
2012-05-31,401.258064516129
2012-06-30,382.3333333333333
2012-07-31,413.48387096774195
2012-08-31,383.16129032258067
2012-09-30,435.53333333333336
2012-10-31,423.2258064516129
2012-11-30,443.5
2012-12-31,380.16129032258067
2013-01-31,329.8709677419355
2013-02-28,347.17857142857144
2013-03-31,331.741935483871
2013-04-30,332.06666666666666
2013-05-31,369.3225806451613
2013-06-30,394.76666666666665
2013-07-31,419.741935483871
2013-08-31,379.80645161290323
2013-09-30,400.4
2013-10-31,429.741935483871
2013-11-30,438.93333333333334
2013-12-31,383.4516129032258
2014-01-31,389.8709677419355
2014-02-28,385.0
2014-03-31,384.35483870967744
2014-04-30,366.93333333333334
2014-05-31,396.8709677419355
2014-06-30,417.73333333333335
2014-07-31,420.19354838709677
2014-08-31,390.5806451612903
2014-09-30,394.4
2014-10-31,433.8709677419355
2014-11-30,441.53333333333336
2014-12-31,388.258064516129
2015-01-31,374.2258064516129
2015-02-28,367.2857142857143
2015-03-31,352.8709677419355
2015-04-30,362.46666666666664
2015-05-31,369.06451612903226
2015-06-30,401.93333333333334
2015-07-31,411.96774193548384
2015-08-31,370.0
2015-09-30,406.7
2015-10-31,400.2903225806452
2015-11-30,412.6
2015-12-31,375.16129032258067
2016-01-31,377.03225806451616
2016-02-29,367.48275862068965
2016-03-31,349.5483870967742
2016-04-30,353.06666666666666
2016-05-31,370.38709677419354
2016-06-30,368.2
2016-07-31,379.9032258064516
2016-08-31,369.7096774193548
2016-09-30,385.7
2016-10-31,374.96774193548384
2016-11-30,424.7
2016-12-31,359.5483870967742
2017-01-31,359.5806451612903
2017-02-28,347.85714285714283
2017-03-31,348.5806451612903
2017-04-30,325.76666666666665
2017-05-31,352.3225806451613
2017-06-30,371.0
2017-07-31,369.35483870967744
2017-08-31,332.2903225806452
2017-09-30,369.7
2017-10-31,361.0967741935484
2017-11-30,398.6
2017-12-31,337.741935483871
